date,region,product,sales_rep,units_sold,unit_price,revenue,profit_margin,customer_satisfaction
2022-04-12,Latin America,Laptops,Eva Brown,34,952.78,32394.68,0.256,3.7
2024-08-16,Asia Pacific,Cameras,Frank Miller,28,479.09,13414.43,0.213,3.7
2020-09-01,Europe,Smart Watches,Bob Smith,17,260.29,4425.0,0.315,5.0
2020-03-17,Asia Pacific,Gaming Consoles,Frank Miller,18,374.46,6740.31,0.258,3.7
2020-10-31,Middle East & Africa,Smartphones,Eva Brown,19,542.24,10302.57,0.189,3.6
2022-07-30,Latin America,Smart Watches,David Wilson,30,216.52,6495.73,0.267,5.0
2022-06-27,Europe,Tablets,David Wilson,31,308.33,9558.08,0.274,3.8
2021-06-03,Latin America,Smart Watches,Alice Johnson,16,259.91,4158.59,0.221,4.2
2020-09-02,Middle East & Africa,Cameras,Carol Davis,21,536.15,11259.17,0.243,3.6
2024-05-24,North America,Tablets,Carol Davis,20,330.55,6611.09,0.248,4.0
2023-06-05,Asia Pacific,Laptops,Frank Miller,28,803.61,22501.03,0.248,4.4
2024-09-10,Middle East & Africa,Cameras,Carol Davis,19,552.91,10505.21,0.265,4.9
2022-12-07,North America,Smart TVs,David Wilson,25,647.33,16183.29,0.201,3.5
2022-07-31,Middle East & Africa,Gaming Consoles,Grace Lee,27,430.81,11631.74,0.177,3.9
2023-05-12,Europe,Laptops,Henry Taylor,23,893.89,20559.38,0.348,3.8
2022-03-04,North America,Smart TVs,Grace Lee,18,579.33,10427.91,0.151,4.9
2020-07-06,North America,Gaming Consoles,Alice Johnson,30,334.18,10025.3,0.248,3.6
2023-11-08,Latin America,Cameras,Grace Lee,16,422.2,6755.19,0.312,4.9
2023-08-06,Middle East & Africa,Smart Watches,Carol Davis,20,207.69,4153.72,0.25,4.7
2024-08-06,Latin America,Smartphones,Bob Smith,23,530.67,12205.34,0.323,4.1
2023-05-23,Asia Pacific,Cameras,Eva Brown,21,509.8,10705.72,0.194,3.6
2023-11-27,Middle East & Africa,Tablets,Alice Johnson,36,326.37,11749.5,0.323,4.2
2024-02-16,Latin America,Headphones,Henry Taylor,20,134.08,2681.58,0.211,3.9
2022-11-19,Latin America,Smart Watches,Carol Davis,36,249.67,8988.1,0.207,3.7
2020-12-19,Asia Pacific,Laptops,David Wilson,28,700.49,19613.79,0.307,4.6
2024-10-15,North America,Gaming Consoles,Henry Taylor,25,359.49,8987.3,0.298,4.0
2024-08-01,North America,Laptops,Carol Davis,17,740.27,12584.61,0.308,4.8
2020-05-20,Asia Pacific,Laptops,Frank Miller,13,798.02,10374.27,0.228,4.4
2021-09-23,Europe,Gaming Consoles,Grace Lee,15,340.74,5111.04,0.285,4.9
2024-10-02,Middle East & Africa,Headphones,Carol Davis,13,143.11,1860.39,0.323,4.2
2024-02-28,Europe,Smart TVs,Frank Miller,24,800.51,19212.19,0.187,4.3
2023-01-28,Europe,Smart TVs,Alice Johnson,22,806.44,17741.77,0.193,4.5
2023-04-11,Middle East & Africa,Smartphones,Alice Johnson,14,657.26,9201.69,0.213,4.5
2023-03-18,Latin America,Smart TVs,Frank Miller,16,640.47,10247.59,0.224,3.6
2020-04-27,Europe,Smart Watches,David Wilson,13,224.19,2914.46,0.332,4.8
2022-05-17,Europe,Tablets,Alice Johnson,23,348.73,8020.74,0.203,4.6
2021-02-12,Latin America,Smartphones,David Wilson,19,589.18,11194.43,0.203,3.8
2024-06-15,Europe,Headphones,Carol Davis,25,142.95,3573.87,0.224,3.8
2023-11-15,Middle East & Africa,Laptops,Alice Johnson,34,845.4,28743.44,0.264,4.4
2021-01-07,Latin America,Smart Watches,Grace Lee,26,254.7,6622.1,0.316,4.4
2024-03-07,Middle East & Africa,Cameras,Carol Davis,17,445.65,7576.0,0.199,4.2
2023-01-07,Latin America,Gaming Consoles,David Wilson,29,478.61,13879.76,0.259,4.9
2021-06-23,North America,Laptops,Carol Davis,27,926.74,25022.09,0.319,4.0
2023-09-24,Asia Pacific,Smart Watches,Eva Brown,20,216.39,4327.76,0.279,4.7
2024-09-06,Latin America,Cameras,Henry Taylor,23,412.13,9478.89,0.288,4.5
2020-01-05,Latin America,Headphones,Alice Johnson,19,177.48,3372.04,0.256,3.9
2024-05-15,Europe,Smart Watches,Frank Miller,12,280.7,3368.36,0.242,4.3
2023-05-31,Asia Pacific,Cameras,Frank Miller,19,410.0,7789.92,0.319,5.0
2020-11-28,Europe,Tablets,Grace Lee,25,311.23,7780.68,0.165,4.4
2020-06-02,Latin America,Headphones,Carol Davis,27,161.9,4371.26,0.229,4.9
2022-07-18,Middle East & Africa,Smartphones,Henry Taylor,28,535.69,14999.31,0.242,4.7
2024-06-07,Europe,Cameras,Eva Brown,24,401.81,9643.38,0.221,4.9
2023-07-02,Asia Pacific,Smart Watches,Henry Taylor,28,251.47,7041.11,0.312,3.9
2023-03-24,North America,Smart Watches,Carol Davis,27,290.14,7833.73,0.181,5.0
2021-06-29,Asia Pacific,Laptops,Henry Taylor,24,843.34,20240.21,0.168,3.5
2024-06-22,North America,Gaming Consoles,Carol Davis,20,478.79,9575.82,0.227,4.4
2023-01-10,Latin America,Laptops,Bob Smith,35,908.74,31805.94,0.3,3.8
2023-05-01,North America,Cameras,Bob Smith,22,486.28,10698.07,0.294,4.3
2021-10-22,Asia Pacific,Headphones,Bob Smith,25,145.81,3645.15,0.331,4.8
2024-07-26,Middle East & Africa,Cameras,David Wilson,25,451.06,11276.55,0.209,4.4
2024-04-30,Latin America,Cameras,Alice Johnson,18,575.9,10366.19,0.242,3.6
2023-07-30,Middle East & Africa,Headphones,Bob Smith,28,169.49,4745.64,0.253,4.2
2023-04-19,Latin America,Gaming Consoles,Eva Brown,8,442.49,3539.9,0.15,4.1
2021-07-19,Middle East & Africa,Laptops,Bob Smith,19,643.23,12221.35,0.237,4.8
2020-12-07,Latin America,Headphones,David Wilson,24,164.51,3948.33,0.32,4.1
2020-11-01,Middle East & Africa,Laptops,Henry Taylor,37,758.7,28071.94,0.33,4.7
2024-04-23,Middle East & Africa,Cameras,Eva Brown,14,482.89,6760.52,0.301,3.5
2020-06-10,North America,Laptops,Carol Davis,26,755.75,19649.43,0.34,4.4
2024-07-16,Middle East & Africa,Smart Watches,Frank Miller,28,217.21,6081.85,0.344,4.2
2023-05-02,Asia Pacific,Cameras,Alice Johnson,14,570.09,7981.32,0.219,3.5
2021-11-11,Middle East & Africa,Laptops,Eva Brown,24,690.34,16568.27,0.174,4.6
2020-06-23,Middle East & Africa,Gaming Consoles,Henry Taylor,24,346.09,8306.06,0.307,4.6
2021-01-03,Asia Pacific,Tablets,David Wilson,14,313.91,4394.73,0.319,3.6
2021-12-28,Asia Pacific,Smart Watches,Carol Davis,34,254.07,8638.5,0.236,4.0
2023-09-21,Middle East & Africa,Smart TVs,Henry Taylor,22,788.6,17349.09,0.25,3.6
2023-05-14,Asia Pacific,Smartphones,Henry Taylor,16,524.86,8397.75,0.154,4.1
2023-07-30,Latin America,Laptops,Frank Miller,21,769.45,16158.42,0.164,4.7
2023-09-03,Europe,Smart TVs,Alice Johnson,22,575.84,12668.57,0.225,4.9
2023-03-10,Latin America,Cameras,Grace Lee,22,483.67,10640.67,0.3,3.7
2022-11-18,Europe,Gaming Consoles,Bob Smith,40,392.02,15680.75,0.345,3.7
2024-05-12,Middle East & Africa,Headphones,Frank Miller,21,154.93,3253.55,0.191,4.3
2024-05-25,Asia Pacific,Tablets,Bob Smith,20,315.68,6313.68,0.26,4.5
2020-06-02,Asia Pacific,Gaming Consoles,Grace Lee,14,431.33,6038.59,0.242,3.6
2023-12-08,Middle East & Africa,Smartphones,Frank Miller,48,642.25,30827.82,0.291,4.4
2022-01-14,Asia Pacific,Headphones,Carol Davis,21,176.8,3712.88,0.171,3.7
2023-01-07,Asia Pacific,Cameras,Carol Davis,26,517.52,13455.45,0.29,4.5
2020-10-10,North America,Laptops,Eva Brown,21,784.08,16465.71,0.342,4.1
2023-06-14,Europe,Smart TVs,Henry Taylor,19,699.45,13289.57,0.299,4.0
2024-11-14,Asia Pacific,Smart Watches,Grace Lee,37,243.84,9022.02,0.349,3.8
2020-02-12,North America,Laptops,Bob Smith,23,849.28,19533.4,0.314,3.6
2023-12-30,North America,Laptops,Frank Miller,25,660.01,16500.21,0.242,4.6
2023-08-30,North America,Tablets,Henry Taylor,21,314.01,6594.29,0.299,4.6
2024-11-08,Asia Pacific,Cameras,Bob Smith,28,559.94,15678.43,0.217,4.8
2022-05-14,Middle East & Africa,Laptops,Bob Smith,24,841.68,20200.3,0.2,4.6
2021-11-10,Latin America,Smartphones,David Wilson,28,668.42,18715.86,0.27,3.8
2023-05-22,Middle East & Africa,Tablets,Frank Miller,17,241.38,4103.44,0.232,4.9
2023-09-26,Middle East & Africa,Smart Watches,Alice Johnson,15,288.17,4322.54,0.313,4.5
2022-03-13,Latin America,Smart Watches,Alice Johnson,17,251.5,4275.51,0.257,4.0
2023-09-04,Europe,Headphones,Henry Taylor,24,174.83,4195.86,0.341,4.0
2023-04-15,Europe,Smartphones,Grace Lee,16,696.85,11149.66,0.166,4.7
2022-11-28,North America,Cameras,Eva Brown,33,571.75,18867.84,0.3,4.2
2021-12-26,North America,Smart Watches,Grace Lee,33,269.39,8890.03,0.196,3.7
2023-11-25,Middle East & Africa,Smartphones,Eva Brown,34,518.73,17636.72,0.167,3.5
2020-08-22,Europe,Tablets,Frank Miller,14,309.86,4338.0,0.174,3.8
2022-10-31,Asia Pacific,Cameras,Grace Lee,23,597.25,13736.73,0.233,4.6
2024-02-13,Asia Pacific,Tablets,Bob Smith,19,264.44,5024.36,0.216,4.3
2022-07-18,Middle East & Africa,Smart TVs,Grace Lee,16,592.82,9485.07,0.217,3.7
2023-07-29,North America,Gaming Consoles,Eva Brown,21,352.69,7406.5,0.252,4.1
2024-11-11,North America,Tablets,Alice Johnson,33,346.27,11427.05,0.194,4.6
2023-03-13,North America,Cameras,David Wilson,23,493.01,11339.25,0.325,3.8
2023-10-19,Asia Pacific,Cameras,Alice Johnson,20,564.12,11282.4,0.231,4.2
2020-05-18,Middle East & Africa,Cameras,Frank Miller,22,456.18,10035.88,0.192,3.6
2021-06-01,Latin America,Gaming Consoles,Alice Johnson,27,407.29,10996.93,0.346,4.2
2020-11-28,Middle East & Africa,Cameras,Grace Lee,18,521.68,9390.27,0.291,4.1
2024-05-14,Latin America,Tablets,Bob Smith,18,285.51,5139.13,0.316,4.8
2022-06-23,Latin America,Gaming Consoles,David Wilson,15,327.79,4916.78,0.266,4.1
2020-11-09,Middle East & Africa,Smart TVs,Eva Brown,27,772.38,20854.27,0.153,3.8
2020-02-13,Middle East & Africa,Tablets,Grace Lee,22,286.89,6311.59,0.182,3.9
2022-09-17,Asia Pacific,Smart Watches,Henry Taylor,20,230.69,4613.81,0.233,4.6
2021-06-11,Asia Pacific,Laptops,Henry Taylor,25,917.96,22949.12,0.295,4.6
2023-09-21,North America,Smartphones,Bob Smith,14,588.19,8234.61,0.342,4.1
2020-03-02,North America,Gaming Consoles,Carol Davis,29,371.92,10785.73,0.204,3.8
2023-11-02,Middle East & Africa,Tablets,David Wilson,37,333.21,12328.95,0.314,4.2
2022-06-05,Latin America,Smartphones,Eva Brown,27,532.14,14367.66,0.243,3.9
2022-06-11,Middle East & Africa,Smart TVs,Carol Davis,30,800.27,24008.21,0.307,4.1
2020-12-31,Asia Pacific,Smart TVs,Henry Taylor,34,746.7,25387.67,0.169,4.6
2023-04-20,Middle East & Africa,Smart TVs,Frank Miller,18,785.87,14145.59,0.322,5.0
2024-08-25,Middle East & Africa,Smart Watches,Alice Johnson,25,201.37,5034.25,0.166,4.0
2021-08-20,Europe,Laptops,Henry Taylor,17,803.72,13663.3,0.151,4.9
2021-12-09,Middle East & Africa,Smart Watches,Bob Smith,27,263.83,7123.47,0.297,4.5
2021-07-26,Asia Pacific,Laptops,David Wilson,25,761.32,19033.02,0.224,4.4
2023-04-29,Asia Pacific,Smart Watches,Carol Davis,19,286.1,5435.99,0.242,4.9
2022-11-03,Asia Pacific,Smart TVs,Carol Davis,37,801.82,29667.33,0.172,4.9
2022-07-28,Middle East & Africa,Gaming Consoles,Alice Johnson,14,439.65,6155.06,0.312,4.1
2021-09-07,Latin America,Cameras,Frank Miller,21,589.75,12384.73,0.162,4.5
2021-01-09,Asia Pacific,Tablets,Grace Lee,31,298.62,9257.2,0.23,3.7
2022-03-15,North America,Cameras,Bob Smith,28,518.57,14519.91,0.221,3.6
2022-10-28,Middle East & Africa,Smart TVs,Bob Smith,12,806.67,9680.07,0.327,4.5
2021-06-02,Middle East & Africa,Tablets,Grace Lee,26,336.01,8736.23,0.327,3.7
2020-06-27,Latin America,Smart Watches,Bob Smith,27,261.9,7071.28,0.338,4.7
2020-12-31,Latin America,Headphones,Grace Lee,28,160.16,4484.44,0.328,4.0
2021-05-08,Asia Pacific,Smartphones,Bob Smith,19,593.99,11285.78,0.161,4.9
2022-07-16,Latin America,Gaming Consoles,Eva Brown,18,321.39,5785.07,0.181,3.8
2020-07-10,Middle East & Africa,Cameras,Henry Taylor,16,471.06,7537.02,0.285,3.6
2020-04-10,Europe,Cameras,David Wilson,14,572.93,8021.04,0.181,3.6
2024-07-23,Asia Pacific,Headphones,Frank Miller,28,154.84,4335.57,0.251,3.7
2023-10-10,Latin America,Smart TVs,David Wilson,20,688.68,13773.67,0.211,4.7
2020-04-15,Middle East & Africa,Smart TVs,Bob Smith,19,720.8,13695.21,0.283,4.7
2023-11-23,Europe,Gaming Consoles,Grace Lee,30,478.31,14349.37,0.328,4.1
2024-10-20,Middle East & Africa,Smartphones,Eva Brown,23,595.96,13707.16,0.318,4.0
2020-08-14,Europe,Smart TVs,Grace Lee,23,703.88,16189.2,0.331,4.8
2023-06-06,Asia Pacific,Smart Watches,Alice Johnson,24,240.28,5766.66,0.344,4.9
2022-04-24,Asia Pacific,Cameras,Grace Lee,21,455.73,9570.3,0.194,3.8
2022-01-07,Middle East & Africa,Cameras,Henry Taylor,21,557.13,11699.7,0.201,4.9
2024-11-26,Asia Pacific,Headphones,Alice Johnson,34,140.26,4768.8,0.348,3.5
2020-10-13,Middle East & Africa,Smartphones,David Wilson,16,480.16,7682.51,0.324,4.7
2020-10-02,Latin America,Smart Watches,Alice Johnson,15,235.12,3526.83,0.169,4.2
2024-10-20,Middle East & Africa,Gaming Consoles,Frank Miller,21,445.73,9360.33,0.268,3.5
2020-06-04,North America,Smart Watches,Henry Taylor,25,251.29,6282.31,0.291,4.9
2021-05-12,Middle East & Africa,Cameras,Frank Miller,20,552.58,11051.57,0.159,4.5
2024-01-30,Latin America,Gaming Consoles,Alice Johnson,20,339.74,6794.88,0.275,3.9
2020-11-03,North America,Cameras,Grace Lee,22,489.81,10775.77,0.197,3.6
2024-02-13,Middle East & Africa,Cameras,Alice Johnson,21,434.7,9128.68,0.226,4.7
2024-09-21,Asia Pacific,Tablets,Grace Lee,14,268.43,3758.05,0.285,4.3
2023-12-01,Europe,Cameras,Eva Brown,34,417.51,14195.33,0.207,4.1
2022-05-05,North America,Smart Watches,Carol Davis,17,263.71,4483.06,0.269,4.5
2020-07-02,Latin America,Smartphones,Frank Miller,27,547.59,14784.87,0.343,3.5
2023-08-04,North America,Laptops,David Wilson,17,665.26,11309.43,0.239,3.9
2020-07-28,North America,Gaming Consoles,David Wilson,18,468.58,8434.46,0.162,3.6
2022-06-30,Latin America,Gaming Consoles,Henry Taylor,21,466.12,9788.46,0.188,3.5
2021-09-21,Europe,Laptops,Bob Smith,22,696.7,15327.44,0.209,3.7
2023-07-30,North America,Gaming Consoles,Carol Davis,19,385.79,7330.04,0.23,4.8
2022-05-01,Latin America,Gaming Consoles,David Wilson,17,363.46,6178.84,0.188,3.8
2023-11-02,Middle East & Africa,Laptops,David Wilson,37,875.18,32381.52,0.256,3.9
2023-03-12,Europe,Smartphones,Frank Miller,21,519.46,10908.6,0.173,4.3
2021-09-16,Asia Pacific,Smart TVs,David Wilson,23,820.84,18879.21,0.314,4.3
2024-08-13,Asia Pacific,Smart TVs,Bob Smith,12,778.4,9340.76,0.17,3.6
2021-07-02,Asia Pacific,Smart Watches,Frank Miller,19,259.48,4930.21,0.298,3.5
2020-01-30,Asia Pacific,Headphones,David Wilson,13,154.08,2003.02,0.209,4.9
2024-01-01,Latin America,Smartphones,Frank Miller,19,492.08,9349.59,0.161,4.5
2024-01-02,Middle East & Africa,Gaming Consoles,Alice Johnson,16,377.47,6039.57,0.315,4.7
2021-11-08,Asia Pacific,Smart Watches,Henry Taylor,27,232.82,6286.08,0.192,3.6
2022-04-28,Middle East & Africa,Cameras,Carol Davis,16,561.68,8986.9,0.315,4.1
2024-11-11,Middle East & Africa,Smart TVs,Carol Davis,18,728.47,13112.48,0.337,4.0
2021-01-24,Asia Pacific,Smart TVs,Bob Smith,23,676.95,15569.78,0.173,4.4
2024-02-23,Latin America,Tablets,Alice Johnson,22,321.76,7078.77,0.338,3.6
2023-09-02,Middle East & Africa,Laptops,Grace Lee,16,753.57,12057.08,0.233,4.5
2021-02-01,Middle East & Africa,Smart TVs,Grace Lee,19,603.91,11474.24,0.315,3.6
2021-03-04,Europe,Headphones,Henry Taylor,26,133.88,3480.95,0.25,4.6
2020-07-19,Middle East & Africa,Smartphones,Henry Taylor,12,571.11,6853.3,0.213,3.9
2022-03-08,Europe,Cameras,Bob Smith,19,578.72,10995.66,0.282,3.5
2024-07-15,Middle East & Africa,Cameras,David Wilson,21,450.23,9454.91,0.319,4.2
2021-08-30,North America,Smart Watches,Bob Smith,21,203.93,4282.47,0.204,3.5
2023-11-25,Latin America,Gaming Consoles,David Wilson,24,457.15,10971.62,0.314,4.2
2023-05-01,Latin America,Cameras,Henry Taylor,22,556.04,12232.83,0.35,3.8
2023-07-17,North America,Smartphones,Alice Johnson,20,495.77,9915.32,0.327,4.1
2022-06-02,North America,Headphones,Bob Smith,18,165.44,2977.87,0.33,3.6
2023-08-30,North America,Laptops,Frank Miller,15,664.58,9968.68,0.197,4.7
2023-05-22,Middle East & Africa,Gaming Consoles,Grace Lee,17,364.44,6195.4,0.157,4.9
2022-10-15,Asia Pacific,Smart TVs,Alice Johnson,24,629.4,15105.71,0.29,4.0
2022-09-25,Europe,Smartphones,Carol Davis,20,660.35,13206.97,0.176,4.3
2021-07-28,Latin America,Headphones,Eva Brown,19,169.04,3211.73,0.336,3.6
2022-03-06,Middle East & Africa,Gaming Consoles,David Wilson,17,373.12,6343.04,0.283,4.8
2023-11-05,Middle East & Africa,Smart Watches,Carol Davis,30,255.28,7658.29,0.193,3.8
2020-06-13,Asia Pacific,Gaming Consoles,David Wilson,25,375.45,9386.24,0.232,3.7
2023-03-15,Middle East & Africa,Cameras,David Wilson,21,560.57,11771.98,0.199,5.0
2021-06-17,Latin America,Headphones,Grace Lee,20,144.68,2893.56,0.198,4.5
2021-03-16,Latin America,Laptops,Henry Taylor,25,690.02,17250.54,0.298,4.0
2022-09-15,Latin America,Smartphones,Eva Brown,24,618.67,14848.17,0.323,3.9
2023-04-19,Europe,Tablets,David Wilson,19,319.84,6077.03,0.25,4.5
2021-02-26,Middle East & Africa,Gaming Consoles,Carol Davis,17,335.93,5710.77,0.271,4.3
2022-06-26,North America,Laptops,Carol Davis,19,720.97,13698.4,0.323,3.7
2021-02-13,Asia Pacific,Smart TVs,Bob Smith,22,650.81,14317.87,0.285,4.4
2022-08-19,North America,Smart TVs,Bob Smith,21,637.26,13382.43,0.304,3.8
2021-03-19,Europe,Smart TVs,Alice Johnson,22,621.24,13667.28,0.162,3.7
2024-04-06,North America,Headphones,Bob Smith,18,175.73,3163.17,0.216,4.2
2020-07-19,Europe,Smart TVs,Alice Johnson,20,736.79,14735.7,0.235,4.3
2023-12-02,Asia Pacific,Smartphones,Grace Lee,36,673.43,24243.66,0.268,3.7
2022-05-20,Middle East & Africa,Smartphones,Frank Miller,13,561.83,7303.79,0.333,4.1
2024-01-17,Latin America,Smart Watches,David Wilson,23,299.44,6887.16,0.271,4.0
2022-07-29,Latin America,Headphones,Bob Smith,25,165.38,4134.5,0.166,4.9
2021-10-22,Asia Pacific,Cameras,Grace Lee,18,511.32,9203.68,0.219,3.7
2024-04-28,North America,Laptops,Frank Miller,28,673.1,18846.77,0.23,4.6
2020-07-24,Asia Pacific,Laptops,Eva Brown,27,721.43,19478.72,0.153,4.3
2022-07-24,Middle East & Africa,Tablets,David Wilson,25,250.21,6255.17,0.26,4.1
2022-04-16,Latin America,Tablets,Alice Johnson,18,256.56,4618.11,0.166,4.7
2021-07-19,Asia Pacific,Smart Watches,Frank Miller,25,232.69,5817.35,0.211,4.1
2022-05-01,Middle East & Africa,Smart TVs,Carol Davis,18,746.65,13439.75,0.174,4.4
2020-10-02,North America,Gaming Consoles,David Wilson,13,427.79,5561.3,0.303,4.0
2020-04-20,Middle East & Africa,Smart Watches,Frank Miller,16,255.11,4081.68,0.255,3.9
2020-10-25,Middle East & Africa,Headphones,Alice Johnson,13,126.33,1642.28,0.267,4.3
2024-12-07,Europe,Smartphones,Carol Davis,42,545.23,22899.61,0.23,4.4
2023-10-24,Europe,Headphones,Alice Johnson,24,176.49,4235.87,0.256,4.6
2021-12-20,North America,Smart Watches,Alice Johnson,37,296.65,10976.23,0.276,4.9
2020-01-07,Europe,Tablets,David Wilson,29,254.45,7379.16,0.267,5.0
2021-06-21,North America,Cameras,Eva Brown,21,432.38,9080.08,0.282,5.0
2021-12-20,Latin America,Smart Watches,Eva Brown,21,241.48,5071.13,0.227,4.5
2021-07-29,Latin America,Smartphones,Frank Miller,22,655.32,14417.0,0.177,3.8
2020-11-25,Europe,Laptops,Grace Lee,30,917.81,27534.43,0.209,3.7
2023-04-26,Europe,Headphones,Alice Johnson,22,132.89,2923.69,0.158,4.0
2020-07-07,Asia Pacific,Smart TVs,Eva Brown,19,708.39,13459.44,0.286,4.4
2021-01-11,Europe,Headphones,David Wilson,26,172.2,4477.1,0.224,4.4
2024-04-23,Europe,Smart TVs,Grace Lee,20,648.2,12964.06,0.308,4.9
2024-04-02,Europe,Smart Watches,Grace Lee,29,287.51,8337.89,0.344,3.8
2021-08-04,Latin America,Smart TVs,Henry Taylor,19,722.58,13729.03,0.337,4.5
2020-02-02,Europe,Smart Watches,David Wilson,30,298.25,8947.56,0.167,4.7
2023-03-30,Asia Pacific,Cameras,Eva Brown,19,476.19,9047.62,0.161,4.4
2024-09-02,Europe,Headphones,Frank Miller,16,122.9,1966.43,0.314,4.7
2021-12-22,Latin America,Laptops,Bob Smith,36,904.3,32554.74,0.276,4.7
2023-04-23,Middle East & Africa,Gaming Consoles,Carol Davis,31,416.81,12921.24,0.194,4.4
2020-09-21,Europe,Smart Watches,Frank Miller,11,276.37,3040.06,0.255,3.8
2022-06-08,Middle East & Africa,Tablets,Grace Lee,16,269.3,4308.79,0.27,4.1
2023-08-10,Middle East & Africa,Smart Watches,Carol Davis,26,219.42,5704.82,0.245,3.5
2021-03-26,Middle East & Africa,Smart TVs,Grace Lee,16,591.79,9468.66,0.334,4.7
2020-08-13,North America,Cameras,Henry Taylor,20,466.08,9321.57,0.268,4.2
2023-10-24,North America,Smartphones,David Wilson,24,519.86,12476.59,0.162,4.5
2022-08-22,Asia Pacific,Laptops,Bob Smith,28,731.49,20481.67,0.284,3.8
2023-01-20,Asia Pacific,Smart TVs,Carol Davis,24,742.83,17827.98,0.266,3.5
2023-06-26,Europe,Smart TVs,Carol Davis,38,697.31,26497.95,0.184,3.6
2022-04-29,Europe,Smartphones,Bob Smith,21,701.38,14729.07,0.165,3.9
2024-11-19,Asia Pacific,Tablets,Carol Davis,27,355.39,9595.64,0.296,4.2
2021-12-05,Asia Pacific,Tablets,Grace Lee,31,263.37,8164.56,0.312,3.9
2021-11-29,North America,Tablets,David Wilson,21,305.83,6422.44,0.231,4.3
2020-11-05,Latin America,Smart TVs,Carol Davis,28,604.45,16924.5,0.34,4.8
2024-11-02,Middle East & Africa,Laptops,Alice Johnson,24,854.15,20499.6,0.247,4.1
2023-03-27,Middle East & Africa,Tablets,Bob Smith,21,296.61,6228.78,0.261,4.4
2024-01-29,Asia Pacific,Gaming Consoles,Henry Taylor,16,326.93,5230.89,0.29,4.0
2020-09-01,Middle East & Africa,Laptops,Grace Lee,15,681.76,10226.42,0.238,4.0
2024-11-16,Middle East & Africa,Headphones,Alice Johnson,34,139.14,4730.85,0.233,4.9
2022-10-17,Middle East & Africa,Tablets,Frank Miller,13,308.86,4015.21,0.162,3.5
2023-06-18,Latin America,Smart Watches,Henry Taylor,24,219.63,5271.11,0.155,4.8
2021-05-05,Europe,Laptops,Henry Taylor,21,777.5,16327.41,0.3,4.9
2024-07-22,Europe,Tablets,Alice Johnson,20,269.62,5392.46,0.211,4.3
2024-07-27,Middle East & Africa,Smartphones,Frank Miller,25,501.07,12526.73,0.184,4.3
2022-01-25,Europe,Headphones,Henry Taylor,19,120.83,2295.8,0.28,4.5
2023-03-06,Europe,Headphones,Alice Johnson,26,153.88,4000.76,0.283,4.5
2021-06-08,Latin America,Smartphones,Eva Brown,27,691.14,18660.8,0.16,3.8
2021-06-04,Middle East & Africa,Tablets,Carol Davis,32,265.13,8484.31,0.233,4.0
2024-03-11,North America,Headphones,Grace Lee,17,132.58,2253.88,0.345,4.5
2023-03-20,Middle East & Africa,Cameras,Bob Smith,24,538.33,12919.95,0.343,4.1
2020-07-27,Middle East & Africa,Smartphones,Alice Johnson,27,529.64,14300.18,0.251,4.0
2021-08-16,Asia Pacific,Cameras,David Wilson,23,481.07,11064.5,0.204,3.8
2020-05-23,North America,Headphones,Grace Lee,25,177.38,4434.44,0.225,4.0
2023-03-13,Asia Pacific,Smart TVs,Bob Smith,17,805.14,13687.33,0.21,4.8
2023-03-24,Europe,Smartphones,David Wilson,14,706.81,9895.28,0.287,4.0
2021-11-16,Asia Pacific,Smartphones,Grace Lee,21,672.58,14124.08,0.322,3.7
2024-06-13,Middle East & Africa,Cameras,Henry Taylor,31,556.64,17255.94,0.311,5.0
2021-10-30,Latin America,Tablets,Carol Davis,22,343.16,7549.55,0.342,3.8
2022-08-24,Latin America,Gaming Consoles,Alice Johnson,25,421.77,10544.19,0.23,4.4
2024-09-18,North America,Tablets,Henry Taylor,23,340.66,7835.24,0.284,4.5
2021-02-18,North America,Headphones,Henry Taylor,14,138.38,1937.29,0.215,3.6
2022-11-16,Europe,Headphones,Grace Lee,25,176.52,4413.09,0.21,4.7
2020-12-17,Middle East & Africa,Smart TVs,Henry Taylor,27,705.75,19055.31,0.238,4.8
2024-09-23,Middle East & Africa,Laptops,Frank Miller,11,791.68,8708.5,0.24,4.8
2023-01-22,Middle East & Africa,Headphones,Eva Brown,19,173.7,3300.36,0.321,4.5
2022-07-27,North America,Smart TVs,Bob Smith,26,647.24,16828.24,0.319,3.9
2021-03-23,Asia Pacific,Laptops,Eva Brown,16,710.28,11364.53,0.15,4.9
2022-04-11,Europe,Gaming Consoles,Eva Brown,14,435.84,6101.83,0.336,4.1
2020-08-03,Latin America,Headphones,Eva Brown,18,157.28,2831.04,0.294,3.7
2020-08-15,Latin America,Cameras,Frank Miller,16,437.98,7007.6,0.158,4.1
2022-11-07,Middle East & Africa,Laptops,Eva Brown,39,854.91,33341.42,0.156,4.3
2024-09-27,Asia Pacific,Gaming Consoles,Henry Taylor,17,364.71,6200.09,0.307,4.8
2020-02-21,Europe,Tablets,Eva Brown,23,240.84,5539.27,0.231,3.9
2021-11-21,Latin America,Smart TVs,Carol Davis,24,579.09,13898.21,0.187,4.3
2022-08-08,Latin America,Tablets,Frank Miller,18,348.64,6275.45,0.249,4.0
2021-09-01,North America,Gaming Consoles,Frank Miller,11,367.69,4044.6,0.214,3.7
2023-02-07,Asia Pacific,Smart TVs,Grace Lee,14,814.64,11404.96,0.188,4.7
